Strain	Medium	Hour	Sample	ngDNA
.Control	Sterile_soil	0h	8	0.00
.Control	Sterile_soil	0h	9	0.00
.Control	Sterile_soil	72h	1	0.01
.Control	Sterile_soil	72h	2	0.05
.Control	Sterile_soil	72h	3	0.02
.Control	Sterile_soil	72h	4	0.01
.Control	Sterile_soil	72h	5	0.01
.Control	Sterile_soil	72h	6	3.28
.Control	Sterile_soil	72h	7	0.02
.Control	Sterile_soil	72h	8	0.01
.Control	Sterile_soil	72h	9	0.01
.Control	Sterile_soil	168h	1	0.12
.Control	Sterile_soil	168h	2	0.26
.Control	Sterile_soil	168h	3	3.98
.Control	Sterile_soil	168h	4	0.57
.Control	Sterile_soil	168h	5	0.16
.Control	Sterile_soil	168h	6	0.00
.Control	Sterile_soil	168h	7	0.03
.Control	Sterile_soil	168h	8	0.53
.Control	Sterile_soil	168h	9	0.12
B6	Sterile_soil	0h	1	0.00
B6	Sterile_soil	0h	2	0.00
B6	Sterile_soil	0h	3	0.03
B6	Sterile_soil	0h	4	0.00
B6	Sterile_soil	0h	5	0.00
B6	Sterile_soil	0h	6	0.00
B6	Sterile_soil	0h	7	0.01
B6	Sterile_soil	0h	8	0.00
B6	Sterile_soil	0h	9	0.00
B6	Sterile_soil	72h	1	0.02
B6	Sterile_soil	72h	2	13.32
B6	Sterile_soil	72h	3	0.02
B6	Sterile_soil	72h	4	7.34
B6	Sterile_soil	72h	5	2.36
B6	Sterile_soil	72h	6	7.70
B6	Sterile_soil	72h	7	20.42
B6	Sterile_soil	72h	8	0.00
B6	Sterile_soil	72h	9	0.00
B6	Sterile_soil	168h	1	1.17
B6	Sterile_soil	168h	2	37.30
B6	Sterile_soil	168h	3	0.04
B6	Sterile_soil	168h	4	0.36
B6	Sterile_soil	168h	5	0.62
B6	Sterile_soil	168h	6	3.38
B6	Sterile_soil	168h	7	5.02
B6	Sterile_soil	168h	8	193.18
B6	Sterile_soil	168h	9	0.00
MK1	Sterile_soil	0h	1	0.00
MK1	Sterile_soil	0h	2	0.00
